Total # of Sentences = 92029 : Total # of Words = 697360
364 : Scene Central Perk
287 : no no no
210 : The One With
198 : dont want to
181 : a lot of
179 : No no no
141 : to talk to
133 : Im going to
132 : dont have to
129 : Oh no no
120 : out of the
114 : going to be
113 : Im gonna go
112 : dont know what
107 : go to the
106 : sitting on the
99 : gonna have to
96 : one of the
91 : One With The
89 : to be a
89 : a couple of
88 : on the couch
87 : to go to
87 : Im not gonna
85 : in front of
85 : the rest of
84 : have to do
76 : to have a
75 : in love with
75 : is going to
74 : have to go
74 : not going to
74 : one of those
71 : The One Where
71 : supposed to be
70 : have to get
70 : Im just gonna
69 : is on the
68 : this is a
68 : want to be
67 : go out with
67 : Im gonna be
61 : get out of
60 : Wait a minute
59 : is trying to
59 : are sitting on
58 : Cut to the
57 : la la la
56 : the fact that
56 : be able to
55 : have to be
54 : this is the
54 : What the hell
54 : just wanted to
53 : the door and
53 : Oh come on
53 : know what to
52 : want to get
52 : dont have a
51 : that would be
50 : have to tell
50 : a little bit
50 : by the way
50 : the first time
50 : was going to
50 : dont know if
49 : wait a minute
48 : just have to
48 : This is so
48 : is gonna be
48 : trying to get
47 : a bunch of
47 : Ive got a
47 : is sitting on
47 : This is the
47 : sitting at the
46 : the end of
46 : to do with
46 : are going to
46 : to go out
45 : All right look
45 : just a little
45 : didnt want to
45 : gonna be a
43 : not gonna be
43 : the living room
43 : is in the
43 : know how to
42 : the middle of
42 : to get a
42 : in the middle
42 : Im gonna get
41 : need to talk
41 : youre not gonna
41 : all the way
41 : want to go
41 : to be with
41 : Im sorry Im
41 : back to the
40 : would like to
40 : on the phone
40 : youre going to
40 : think Im gonna
40 : is there as
39 : some kind of
39 : kind of a
39 : That is so
39 : take care of
39 : this is so
38 : are there as
38 : This is a
37 : Im so glad
37 : going out with
37 : break up with
37 : to make a
37 : All right well
37 : Id like to
37 : Im gonna have
36 : a picture of
36 : All right Ill
36 : think this is
36 : Im gonna do
36 : are sitting at
35 : the one who
35 : youre gonna have
35 : Im sorry but
35 : rest of the
35 : want to do
35 : know what Im
34 : youre gonna be
34 : going to have
34 : want to talk
34 : on the door
34 : is talking to
34 : to know that
33 : just trying to
33 : not supposed to
33 : is about to
33 : this is just
33 : Oh this is
33 : Oh Im sorry
32 : just want to
32 : dont know how
32 : from The One
32 : the matter with
32 : the last time
31 : That would be
31 : gonna have a
31 : All right all
31 : going to do
31 : in the living
31 : Im not going
31 : want to see
31 : in the kitchen
31 : to say that
31 : there is a
31 : right all right
30 : have sex with
30 : that is so
30 : were going to
30 : knock on the
30 : All right lets
30 : to be the
30 : All right Im
30 : know what youre
30 : broke up with
30 : to talk about
30 : Ive got to
30 : the only one
30 : to take a
29 : this is not
29 : a little more
29 : so much for
29 : up with a
29 : is from The
29 : the hell is
29 : the gang is
29 : get rid of
29 : whats going on
29 : a lot to
29 : to sleep with
29 : there was a
28 : Im so sorry
28 : have to say
28 : Ill be right
28 : go to a
28 : The Casting Director
28 : end of the
28 : What is the
28 : gonna go to
28 : a date with
28 : go back to
28 : the hell are
28 : to get to
28 : So what do
27 : the couch as
27 : Episode The One
27 : dont know why
27 : there is no
27 : a cup of
27 : move in with
27 : One With the
27 : have a little
27 : a knock on
27 : all the time
27 : to see if
26 : Hey hey hey
26 : the two of
26 : Well this is
26 : really want to
26 : going to the
26 : and and and
26 : All right so
26 : a piece of
26 : looking for a
26 : as long as
26 : was in the
25 : to have to
25 : one is from
25 : So what are
25 : all of the
25 : used to be
25 : Im gonna take
25 : look at the
25 : in there and
25 : is at the
25 : went to the
25 : to figure out
25 : what to do
25 : a really good
25 : By the way
25 : was supposed to
25 : a problem with
24 : the kind of
24 : Im a little
24 : side of the
24 : down to the
24 : Scene The Hallway
24 : what the hell
24 : were gonna be
24 : gonna be the
24 : were gonna have
24 : is not a
24 : going to get
24 : over there and
24 : a long time
24 : from Episode The
24 : the couch and
24 : are in the
24 : Im just saying
24 : mean this is
24 : Central Perk the
24 : front of the
24 : back in the
24 : is a great
24 : is from Episode
23 : was just a
23 : to get back
23 : Scene The hallway
23 : for the first
23 : have a baby
23 : in the same
23 : to pick up
23 : up to the
23 : on a date
23 : come up with
23 : up in the
23 : Thats a good
23 : coming out of
23 : Im not a
23 : have no idea
23 : get back to
23 : is sitting at
23 : got to be
23 : This is not
23 : have got to
23 : to get out
22 : That was a
22 : Central Perk everyone
22 : to live with
22 : everyone is there
22 : nice to meet
22 : have to make
22 : at the end
22 : sitting in the
22 : getting ready to
22 : to get married
22 : and a half
22 : a chance to
22 : have to have
22 : was a little
22 : was trying to
22 : the guy who
22 : that this is
22 : to do that
22 : of all the
22 : what kind of
22 : the other day
22 : look at this
22 : to get the
22 : what Im gonna
22 : are gonna be
21 : as much as
21 : have to take
21 : cant believe youre
21 : this is what
21 : get a little
21 : Cut back to
21 : gonna be here
21 : the back of
21 : dont have any
21 : to have sex
21 : the one that
21 : Oh Im so
21 : are returning from
21 : to be in
21 : got to get
21 : all over the
21 : to do this
21 : for a couple
21 : to do is
21 : were trying to
21 : What kind of
20 : Oh look at
20 : Whoa whoa whoa
20 : is looking at
20 : at the counter
20 : next one is
20 : really have to
20 : The next one
20 : hang out with
20 : Whats the matter
20 : is getting ready
20 : just gonna have
20 : know this is
20 : All right thats
20 : No Im not
20 : Im never gonna
20 : What happened to
20 : want to have
20 : Im gonna miss
20 : want to hear
20 : Ive been thinking
20 : Im sorry about
20 : out on the
20 : to move in
20 : to find out
20 : a crush on
20 : that kind of
20 : gonna be so
20 : would be a
20 : wanted to see
20 : comes out of
19 : dont even know
19 : mean come on
19 : Scene A Restaurant
19 : The Cooking Teacher
19 : Whats wrong with
19 : but this is
19 : middle of the
19 : just going to
19 : on the other
19 : going to go
19 : is sitting in
19 : have a lot
19 : Im not sure
19 : to break up
19 : are on the
19 : that was a
19 : Im not even
19 : a part of
19 : Well at least
19 : just dont want
19 : to the bathroom
19 : with a guy
19 : in charge of
19 : Oh that is
19 : is reading a
19 : what this is
18 : were supposed to
18 : Oh by the
18 : have to talk
18 : guy in the
18 : Youre not gonna
18 : went out with
18 : such a great
18 : Ill be back
18 : is wrong with
18 : this is all
18 : is the matter
18 : a little too
18 : is returning from
18 : in the world
18 : to do a
18 : be a little
18 : at the kitchen
18 : that Im not
18 : could be a
18 : wait wait wait
18 : was wondering if
18 : wanted to do
18 : be one of
18 : get to know
18 : getting ready for
18 : figure out what
18 : that is a
18 : be in the
18 : didnt have to
17 : were just gonna
17 : each other and
17 : as soon as
17 : to do something
17 : have to stop
17 : might as well
17 : what is the
17 : So this is
17 : need to be
17 : Nice to meet
17 : That is a
17 : Im not saying
17 : need to get
17 : do this to
17 : cant wait to
17 : dont think thats
17 : trying to figure
17 : out in the
17 : for the rest
17 : want to say
17 : this is gonna
17 : and Im gonna
17 : think Im just
17 : what happened to
17 : gotta tell ya
17 : are trying to
17 : the most beautiful
17 : really need to
17 : looking at the
17 : have to give
17 : on top of
17 : going to tell
17 : wanted to be
17 : Youre gonna be
17 : out of here
17 : going on with
17 : Im so happy
17 : dont think that
17 : What what are
17 : Im having a
17 : to get rid
17 : down there and
17 : in the bathroom
17 : just gonna be
16 : want to make
16 : a lot more
16 : dont care if
16 : Im here to
16 : the top of
16 : hold on a
16 : dont know about
16 : next to the
16 : the guys are
16 : know what the
16 : That is the
16 : not allowed to
16 : Okay all right
16 : in high school
16 : were talking about
16 : out with a
16 : is a good
16 : been thinking about
16 : So uh what
16 : the door to
16 : with all the
16 : am going to
16 : here for a
16 : but Im not
16 : the way to
16 : dont know but
16 : talking about the
16 : to have the
16 : in a couple
16 : knocks on the
16 : is this is
16 : Hey what are
16 : and this is
16 : were not gonna
16 : up on the
16 : Im trying to
16 : dont care about
16 : would be like
16 : Id love to
16 : been trying to
16 : Well of course
16 : to get over
16 : get to the
16 : was thinking about
16 : Im just not
16 : to see a
16 : opens the door
16 : dont think Im
16 : made out with
16 : Well Im sorry
16 : Is that a
15 : know how much
15 : Im the one
15 : So how was
15 : Im supposed to
15 : out of a
15 : thought that was
15 : in one of
15 : do that to
15 : to think about
15 : got a lot
15 : is working on
15 : have to ask
15 : be on the
15 : right Im gonna
15 : flashback is from
15 : would love to
15 : one with the
15 : gang is there
15 : going to a
15 : a minute wait
15 : didnt get the
15 : that was just
15 : was like a
15 : a guy who
15 : Carol and Susan
15 : there was no
15 : Well Im not
15 : going to say
15 : that is not
15 : dont worry about
15 : a great time
15 : get to be
15 : for a little
15 : got to go
15 : go talk to
15 : walking down the
15 : have a problem
15 : Well why dont
15 : waiting for the
15 : Originally written by
15 : the bathroom and
15 : one of these
15 : youve got to
15 : such a good
15 : were in the
15 : are sitting in
15 : got a little
15 : cant believe this
15 : at the same
15 : Dont worry about
15 : dont even have
15 : gonna be on
15 : breaking up with
15 : Oh yeah yeah
15 : cup of coffee
15 : from now on
15 : just wanna say
15 : even have a
14 : Oh thats so
14 : in the morning
14 : Hey yknow what
14 : for a long
14 : at the table
14 : dont feel like
14 : Scene A Street
14 : are at the
14 : dont need to
14 : that youre not
14 : some of the
14 : were on a
14 : to find a
14 : look like a
14 : across the hall
14 : come to the
14 : am not gonna
14 : There was a
14 : had sex with
14 : Wait wait wait
14 : this is going
14 : be the one
14 : There is a
14 : looks like a
14 : enters carrying a
14 : still in love
14 : trying to find
14 : All right yknow
14 : know what else
14 : Look at that
14 : be a good
14 : One With All
14 : if youre gonna
14 : know Im not
14 : doesnt want to
14 : Okay Im gonna
14 : just need to
14 : was the best
14 : to hear about
14 : Im in the
14 : to be so
14 : to be at
14 : Well Im gonna
14 : to see the
14 : a good thing
14 : blah blah blah
14 : Im just Im
14 : just had a
14 : was gonna be
14 : for a while
14 : be back in
14 : just dont think
14 : is the best
14 : go over there
14 : get in the
14 : a little something
14 : cant believe that
14 : Look Im sorry
14 : on the way
14 : go out and
14 : into the living
14 : have a good
14 : is a little
14 : wanted to say
13 : are gonna have
13 : gonna be all
13 : Im sorry that
13 : had a lot
13 : go down there
13 : out on a
13 : in the back
13 : want to come
13 : the guy that
13 : Is that what
13 : a bottle of
13 : so much better
13 : always wanted to
13 : of the day
13 : still cant believe
13 : is waiting for
13 : wanted to tell
13 : is a very
13 : try to get
13 : Ive never been
13 : Im gonna call
13 : shes gonna be
13 : Id have to
13 : to the hospital
13 : God this is
13 : the girls are
13 : All right now
13 : the only thing
13 : to look at
13 : hes gonna be
13 : Perk everyone is
13 : Get out of
13 : like to go
13 : get used to
13 : always have to
13 : as good as
13 : no no dont
13 : minute wait a
13 : no idea what
13 : was looking at
13 : be at the
13 : and Mike are
13 : like to say
13 : are waiting for
13 : out to be
13 : to make sure
13 : so happy for
13 : Im looking for
13 : to one of
13 : gonna go get
13 : that is the
13 : got to do
13 : Im really sorry
13 : have to find
13 : and Im not
13 : first of all
13 : on the floor
13 : The Dry Cleaner
13 : cant believe Im
13 : the name of
13 : clip is from
13 : going to take
13 : part of the
13 : doesnt have a
13 : on one of
13 : ready to go
13 : for the last
13 : Oh oh oh
13 : Cut to later
13 : this is this
13 : No no thats
13 : to do to
13 : What about the
13 : in the first
13 : pick up the
13 : had a little
13 : by the time
13 : whats wrong with
13 : is so much
13 : are about to
12 : in the hallway
12 : Come on lets
12 : And this is
12 : do that for
12 : thats not what
12 : next flashback is
12 : to get some
12 : need to know
12 : little bit of
12 : are having a
12 : the next morning
12 : would be the
12 : any of the
12 : and Susan are
12 : the coffee table
12 : never had a
12 : be in a
12 : Ugly Naked Guy
12 : So what did
12 : to worry about
12 : gotta go to
12 : want to take
12 : wanted to talk
12 : would have to
12 : have to call
12 : The only thing
12 : has to be
12 : want to know
12 : was a good
12 : Okay this is
12 : go into the
12 : what youre doing
12 : would have been
12 : Im gonna tell
12 : was just trying
12 : here in the
12 : was just thinking
12 : know what this
12 : to go back
12 : say goodbye to
12 : living room and
12 : have a very
12 : the phone with
12 : take a look
12 : the coffee house
12 : The next flashback
12 : youre having a
12 : ready for the
12 : only one who
12 : the three of
12 : is the most
12 : Carol and Susans
12 : to do the
12 : this this is
12 : go in there
12 : First of all
12 : of the sudden
12 : still trying to
12 : had a great
12 : Youve got to
12 : to be like
12 : weve got a
12 : coming back from
12 : Im talking about
12 : on the table
12 : had to go
12 : about all the
12 : the same thing
12 : to hang out
12 : Im Im sorry
12 : all right all
12 : which one of
12 : a good time
12 : top of the
12 : Oh yeah well
12 : going to talk
12 : get to see
12 : supposed to do
12 : not even a
12 : that big a
12 : Im about to
12 : up with the
12 : The next clip
12 : do have a
12 : next clip is
12 : Okay Ill see
12 : knocking on the
12 : over to the
12 : that was the
12 : Ive never seen
12 : to get in
12 : not gonna let
12 : have so much
12 : gonna do this
12 : go home and
12 : right Ill see
12 : This is where
12 : dont wanna be
12 : be here any
12 : youre not a
12 : what Im going
12 : standing in the
12 : There is no
12 : good to see
12 : taking care of
12 : Im in a
12 : This is what
12 : Well what is
12 : start with the
12 : in The One
12 : All right listen
12 : just gonna go
12 : not a big
11 : just saying that
11 : not Im not
11 : never going to
11 : Oh thats not
11 : at the door
11 : is such a
11 : fall in love
11 : turns out that
11 : the table and
11 : was a big
11 : What what what
11 : what a great
11 : have to come
11 : guys this is
11 : See this is
11 : these are the
11 : What is wrong
11 : really wanted to
11 : so much fun
11 : theres no way
11 : of the night
11 : wants to do
11 : trying to make
11 : dont get to
11 : Well youre not
11 : looking forward to
11 : could get a
11 : So how are
11 : believe this is
11 : so much to
11 : so proud of
11 : All right then
11 : have a date
11 : just forget about
11 : nothing wrong with
11 : in here and
11 : Im not Im
11 : so Im gonna
11 : hanging out with
11 : like to be
11 : to make the
11 : Were not gonna
11 : even know what
11 : the phone and
11 : didnt get to
11 : out of that
11 : here to tell
11 : to come back
11 : at the coffee
11 : the next day
11 : and no one
11 : and get the
11 : back from the
11 : Im Im gonna
11 : been waiting for
11 : have to wait
11 : out for a
11 : away from the
11 : is a knock
11 : picks up the
11 : Im not really
11 : having sex with
11 : Frank and Alice
11 : have a great
11 : get to go
11 : if youre not
11 : Okay okay okay
11 : is not going
11 : what Im talking
11 : this is really
11 : not gonna believe
11 : sounds like a
11 : so why dont
11 : on a second
11 : have any idea
11 : down on the
11 : am not a
11 : had to do
11 : the street and
11 : the counter as
11 : such a big
11 : what youre talking
11 : This place is
11 : have to help
11 : bit of a
11 : This is like
11 : This is all
11 : how was the
11 : still in the
11 : a great guy
11 : is there with
11 : the way that
11 : down the street
11 : of the gang
11 : Oh yeah thats
11 : that doesnt mean
11 : whole gang is
11 : a box of
11 : this is about
11 : nothing to do
11 : no this is
11 : No thats not
11 : is there to
11 : on the counter
11 : with a woman
11 : cut to the
11 : came up with
11 : to find the
11 : guess this is
11 : and Richard are
11 : have feelings for
11 : much better than
11 : enters with a
11 : to get into
11 : Whats the big
11 : used to have
11 : Ill talk to
11 : dont think this
11 : had a really
11 : at the restaurant
11 : think youre gonna
11 : guys are gonna
11 : for a few
11 : like a million
11 : down at the
11 : who wants to
11 : out to dinner
11 : could be the
11 : lets just say
10 : the first thing
10 : and there was
10 : should go to
10 : So why dont
10 : what were gonna
10 : about the whole
10 : New York City
10 : Youre right youre
10 : want to lose
10 : to work on
10 : as bad as
10 : know that this
10 : How is that
10 : is just a
10 : doing this for
10 : were on the
10 : Scene The street
10 : back in a
10 : what happened with
10 : in New York
10 : the hell out
10 : a little while
10 : dont know where
10 : not that big
10 : Oh wait a
10 : care of the
10 : have to see
10 : not gonna do
10 : happened to the
10 : wants to be
10 : want to tell
10 : is like the
10 : on the same
10 : gonna be okay
10 : the love of
10 : gonna want to
10 : of a sudden
10 : Is that why
10 : So how did
10 : up for a
10 : hes going to
10 : Yeah that was
10 : have one of
10 : know anything about
10 : know that youre
10 : this one is
10 : not in the
10 : to take the
10 : not so much
10 : and Ill be
10 : As long as
10 : well this is
10 : know what that
10 : Whats going on
10 : guy with the
10 : Wow this is
10 : the kitchen table
10 : is the only
10 : What what is
10 : know whats going
10 : never gonna be
10 : up the phone
10 : dont have the
10 : if thats what
10 : went down to
10 : Oh yknow what
10 : youre not going
10 : a bit of
10 : out of this
10 : sitting around the
10 : really dont think
10 : wrong with the
10 : to go on
10 : the chick and
10 : see each other
10 : no no Im
10 : Were gonna be
10 : in for a
10 : have to walk
10 : had such a
10 : Im getting married
10 : been able to
10 : Look at this
10 : is not what
10 : all right so
10 : youre supposed to
10 : is there a
10 : just found out
10 : can be a
10 : Im just trying
10 : uh this is
10 : there was something
10 : in the car
10 : of those things
10 : be a big
10 : dont mean to
10 : gonna go out
10 : on the street
10 : of the bathroom
10 : trying to do
10 : Im just going
10 : do not have
10 : Oh no wait
10 : Scene The delivery
10 : the head of
10 : there was this
10 : hes not gonna
10 : mean Im not
10 : out of there
10 : and then the
10 : talking to a
10 : in the next
10 : that there was
10 : just dont know
10 : Im just so
10 : to go and
10 : Im in love
10 : is coming out
10 : That was the
10 : because of the
10 : to move to
10 : nice to see
10 : Im just a
10 : can go to
10 : a friend of
10 : back of the
10 : not gonna get
10 : went to a
10 : and Emily are
10 : Were going to
10 : to deal with
10 : All right fine
10 : gonna do that
10 : wanted to have
10 : Scene Outside Central
10 : are getting ready
10 : cant do that
10 : cant do this
10 : The delivery room
10 : good bye to
10 : is in a
10 : to go with
10 : have nothing to
10 : to Central Perk
10 : the most important
10 : Oh hey hey
10 : spend the rest
10 : the idea of
10 : had a dream
10 : in the way
10 : youre just gonna
10 : hell out of
10 : Hey come on
10 : And and and
10 : really important to
10 : a look at
10 : on the bed
10 : tickets to the
10 : for the next
10 : how to tell
10 : dont believe in
10 : the whole gang
10 : not want to
10 : would be nice
10 : should have a
10 : right now but
10 : mom and dad
10 : gonna get a
9 : was such a
9 : Is there anything
9 : Outside Central Perk
9 : this is for
9 : Come on man
9 : to give up
9 : was a kid
9 : ever want to
9 : Semi Private Labor
9 : talk about this
9 : talk about that
9 : at first but
9 : Transcribed by Eric
9 : was thinking maybe
9 : Im still in
9 : just thinking about
9 : What is that
9 : to the airport
9 : Yeah were gonna
9 : a way to
9 : Thats a great
9 : Scene The Semi
9 : to spend the
9 : did not see
9 : feel like a
9 : this is too
9 : is just so
9 : not gonna tell
9 : mean what if
9 : Ive been waiting
9 : With All The
9 : get on the
9 : get to meet
9 : meant to be
9 : to put on
9 : that much to
9 : the good news
9 : at each other
9 : just got a
9 : having a great
9 : just sort of
9 : able to get
9 : Private Labor Room
9 : have to put
9 : do anything to
9 : That is not
9 : is there anything
9 : From now on
9 : this has been
9 : and go to
9 : across the street
9 : to do anything
9 : Whats with the
9 : wont be able
9 : thats a great
9 : Is there a
9 : have time to
9 : in the room
9 : Well thats not
9 : for a second
9 : and try to
9 : get back together
9 : have all the
9 : feel any better
9 : to do about
9 : was looking for
9 : not the only
9 : is the last
9 : first time in
9 : go up to
9 : didnt mean to
9 : not gonna make
9 : most of the
9 : hallway between the
9 : came by to
9 : the other side
9 : a shot of
9 : on the first
9 : about what happened
9 : go pick up
9 : and opens the
9 : dont need a
9 : was kinda hoping
9 : on Days of
9 : ready to have
9 : And yknow what
9 : what is this
9 : the feeling that
9 : with the guy
9 : never gonna get
9 : were gonna go
9 : the kitchen as
9 : to New York
9 : wanna go to
9 : something a little
9 : put on a
9 : standing at the
9 : how about this
9 : the big deal
9 : learn how to
9 : up all night
9 : Scene Carol and
9 : that is what
9 : be mad at
9 : didnt know that
9 : am not going
9 : What is going
9 : to go in
9 : am so sorry
9 : can not believe
9 : to do was
9 : Ugly Naked Guys
9 : are still playing
9 : falling in love
9 : going to let
9 : The point is
9 : and a little
9 : think that Im
9 : are there to
9 : Im pretty sure
9 : in the city
9 : a hard time
9 : just think that
9 : So uh how
9 : like a big
9 : going to call
9 : by any chance
9 : up on a
9 : might be a
9 : wanted to get
9 : a like a
9 : was thinking that
9 : an audition for
9 : was talking about
9 : just like to
9 : Scene The Hospital
9 : about the time
9 : kind of guy
9 : turned out to
9 : make fun of
9 : that that is
9 : picture of a
9 : go down to
9 : gonna be able
9 : Yeah Im gonna
9 : The Semi Private
9 : right out of
9 : could have a
9 : is one of
9 : right now Im
9 : all this stuff
9 : would be really
9 : the exact same
9 : Theres a knock
9 : come in here
9 : must have been
9 : God oh God
9 : uh what are
9 : Im gonna make
9 : really dont want
9 : have to watch
9 : youre the one
9 : in the whole
9 : is a big
9 : better than the
9 : is walking up
9 : and have a
9 : weve got to
9 : Yeah and and
9 : stay here and
9 : on the subway
9 : to be an
9 : that was really
9 : looking at a
9 : is a real
9 : a serious relationship
9 : the baby and
9 : there is one
9 : Ill take care
9 : to keep the
9 : to the door
9 : down the aisle
9 : all about the
9 : man in the
9 : wanted to go
9 : didnt have a
9 : there are no
9 : so nice to
9 : talk to the
9 : all that stuff
9 : is making a
9 : going on a
9 : still mad at
9 : Cut to Central
9 : hung up on
9 : like a like
9 : was about to
9 : a very good
9 : the window and
9 : to get on
9 : be like the
9 : Im not allowed
9 : the deal with
9 : reading a magazine
9 : Im gonna put
9 : maid of honor
9 : means that much
9 : this is like
9 : gonna be in
9 : Who the hell
9 : be in charge
9 : Scene Outside the
9 : been in a
9 : some sort of
9 : look at that
9 : were gonna get
9 : the right thing
9 : Well what did
9 : dont know Im
9 : doesnt have to
9 : walks up to
9 : of those little
9 : All right youre
9 : phone rings and
9 : to open the
9 : something to do
9 : is supposed to
9 : going to make
9 : Im out of
9 : get something to
8 : to be here
8 : couple of days
8 : had feelings for
8 : stop thinking about
8 : walks over to
8 : gonna make a
8 : go get the
8 : a big deal
8 : more of a
8 : going to give
8 : once in a
8 : just try to
8 : here to see
8 : Ill have a
8 : can get a
8 : gonna go over
8 : head of the
8 : dont really know
8 : wanna see the
8 : having a little
8 : a copy of
8 : the kitchen and
8 : And Im not
8 : were going out
8 : no thats not
8 : a guy whos
8 : the gang minus
8 : The Potential Roommate
8 : but that doesnt
8 : gonna end up
8 : Oh ho ho
8 : no no that
8 : feel like Im
8 : Were gonna have
8 : dont know that
8 : be the guy
8 : Oh youre so
8 : want to live
8 : Theres no way
8 : been going out
8 : Mom and Dad
8 : with a little
8 : the other hand
8 : deal with this
8 : now that youre
8 : Come on Rach
8 : the most amazing
8 : is there except
8 : going to believe
8 : sitting at a
8 : up the stairs
8 : happens to be
8 : think about the
8 : so much more
8 : to get this
8 : There was no
8 : the next time
8 : most important thing
8 : can do that
8 : up all the
8 : the stairs and
8 : The beach house
8 : get married and
8 : need to do
8 : sits on the
8 : would never do
8 : by the window
8 : dont know maybe
8 : all right well
8 : important thing is
8 : Oh youre not
8 : seem to be
8 : with one of
8 : The hallway between
8 : thats a lot
8 : what what are
8 : is out of
8 : shes going to
8 : date with a
8 : Dont look at
8 : the way over
8 : Okay what do
8 : to try to
8 : has to go
8 : go to bed
8 : to the living
8 : to think that
8 : to get used
